id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,turno
49000000002117,40,2,cursos e oficinas,1,Música,49,14 Bis,capital,1,0,crianças,,Percussão de Bateria,Com Projeto Sociocultural Bateria 013,uma,nextW,proxima,sáb,5,17h30,undefined,2023-10-28 00:00:00,2023-10-14 00:00:00,2023-10-28 00:00:00,,,0,tarde
49000000002117,40,2,cursos e oficinas,1,Música,49,14 Bis,capital,1,0,crianças,,Percussão de Bateria,Com Projeto Sociocultural Bateria 013,uma,thisW,agora,sáb,5,17h30,undefined,2023-10-21 00:00:00,2023-10-14 00:00:00,2023-10-28 00:00:00,,,0,tarde
49000000002542,30,2,cursos e oficinas,8,Educação,49,14 Bis,capital,0,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,nextW,proxima,dom,6,10h15,undefined,2023-10-29 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,,,0,manhã
49000000002542,30,2,cursos e oficinas,8,Educação,49,14 Bis,capital,0,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,nextW,proxima,sáb,5,10h15,undefined,2023-10-28 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,,,0,manhã
49000000002542,30,2,cursos e oficinas,8,Educação,49,14 Bis,capital,0,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,thisW,agora,dom,6,10h15,undefined,2023-10-22 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,,,0,manhã
49000000002542,30,2,cursos e oficinas,8,Educação,49,14 Bis,capital,0,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,thisW,agora,sáb,5,10h15,undefined,2023-10-21 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,,,0,manhã
49000000002586,50,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,0,outros,,Recreação esportes urbanos  Danças urbanas,Com educadores de atividades físico esportivas do Sesc,uma,nextW,proxima,dom,6,13h,undefined,2023-10-29 00:00:00,2023-10-15 00:00:00,2023-10-29 00:00:00,,,0,tarde
49000000002586,50,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,0,outros,,Recreação esportes urbanos  Danças urbanas,Com educadores de atividades físico esportivas do Sesc,uma,thisW,agora,dom,6,13h,undefined,2023-10-22 00:00:00,2023-10-15 00:00:00,2023-10-29 00:00:00,,,0,tarde
49000000002795,4000,4,exposições,6,Artes Visuais,49,14 Bis,capital,1,0,outros,Constelação Celestina,Constelação Celestina,Fotógrafo: Wagner Celestino. Curadoria: Claudinei Roberto da Silva.,de-ate,sempre,agora,sempre,7,10h30,dcelestina,2023-10-17 00:00:00,2023-10-06 00:00:00,2024-04-07 00:00:00,,,0,manhã
49000000002795,4000,4,exposições,6,Artes Visuais,49,14 Bis,capital,1,0,outros,Constelação Celestina,Constelação Celestina,Fotógrafo: Wagner Celestino. Curadoria: Claudinei Roberto da Silva.,de-ate,sempre,proxima,sempre,7,10h30,dcelestina,2023-10-24 00:00:00,2023-10-06 00:00:00,2024-04-07 00:00:00,,,0,manhã
49000000005801,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Egberto Gismonti (Brasil) - sesc jazz,,uma,nextW,proxima,dom,6,18h,undefined,2023-10-29 00:00:00,2023-10-28 00:00:00,2023-10-29 00:00:00,,,0,noite
49000000005801,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Egberto Gismonti (Brasil) - sesc jazz,,uma,nextW,proxima,sáb,5,19h30,undefined,2023-10-28 00:00:00,2023-10-28 00:00:00,2023-10-29 00:00:00,,,0,noite
49000000005838,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Sona Jobarteh (Gâmbia) - Sesc Jazz,,uma,nextW,proxima,qui,3,19h30,undefined,2023-10-26 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,,,0,noite
49000000005838,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Sona Jobarteh (Gâmbia) - Sesc Jazz,,uma,nextW,proxima,sex,4,19h30,undefined,2023-10-27 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,,,0,noite
49000000005861,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Vanessa Moreno (Brasil) - Sesc Jazz,Participação especial de Fabiana Cozza.,uma,thisW,agora,qui,3,19h30,undefined,2023-10-19 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,,,0,noite
49000000005861,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,Sesc Jazz,Vanessa Moreno (Brasil) - Sesc Jazz,Participação especial de Fabiana Cozza.,uma,thisW,agora,sex,4,19h30,undefined,2023-10-20 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,,,0,noite
